subscriber_id,bill_amount,cycle_date,paid_status,prior_failures,days_overdue,decline_reason
sub_20075,799,2026-08-20,paid,0,30,
sub_20076,999,2026-08-21,paid,1,37,
sub_20077,1299,2026-08-22,failed,2,44,insufficient_funds
sub_20078,399,2026-08-23,failed,3,6,insufficient_funds
sub_20079,499,2026-08-24,failed,4,13,insufficient_funds
sub_20080,599,2026-08-25,paid,0,20,
sub_20081,799,2026-08-26,paid,1,27,
sub_20082,999,2026-08-27,failed,2,34,insufficient_funds
sub_20083,1299,2026-08-28,failed,3,41,insufficient_funds
sub_20084,399,2026-08-01,failed,4,3,insufficient_funds
sub_20085,499,2026-08-02,paid,0,10,
sub_20086,599,2026-08-03,paid,1,17,
sub_20087,799,2026-08-04,failed,2,24,insufficient_funds
sub_20088,999,2026-08-05,failed,3,31,insufficient_funds
sub_20089,1299,2026-08-06,failed,4,38,insufficient_funds
sub_20090,399,2026-08-07,paid,0,0,
sub_20091,499,2026-08-08,paid,1,7,
sub_20092,599,2026-08-09,paid,2,14,
sub_20093,799,2026-08-10,failed,3,21,insufficient_funds
sub_20094,999,2026-08-11,failed,4,28,insufficient_funds
sub_20095,1299,2026-08-12,paid,0,35,
sub_20096,399,2026-08-13,failed,1,42,insufficient_funds
sub_20097,499,2026-08-14,paid,2,4,
sub_20098,599,2026-08-15,failed,3,11,insufficient_funds
sub_20099,799,2026-08-16,failed,4,18,insufficient_funds
sub_20100,999,2026-08-17,paid,0,25,
sub_20101,1299,2026-08-18,paid,1,32,
sub_20102,399,2026-08-19,failed,2,39,insufficient_funds
sub_20103,499,2026-08-20,failed,3,1,insufficient_funds
sub_20104,599,2026-08-21,failed,4,8,insufficient_funds
sub_20105,799,2026-08-22,paid,0,15,
sub_20106,999,2026-08-23,paid,1,22,
sub_20107,1299,2026-08-24,failed,2,29,insufficient_funds
sub_20108,399,2026-08-25,failed,3,36,insufficient_funds
sub_20109,499,2026-08-26,failed,4,43,insufficient_funds
sub_20110,599,2026-08-27,paid,0,5,
sub_20111,799,2026-08-28,paid,1,12,
sub_20112,999,2026-08-01,failed,2,19,insufficient_funds
sub_20113,1299,2026-08-02,failed,3,26,insufficient_funds
sub_20114,399,2026-08-03,failed,4,33,insufficient_funds
sub_20115,499,2026-08-04,paid,0,40,
sub_20116,599,2026-08-05,paid,1,2,
sub_20117,799,2026-08-06,paid,2,9,
sub_20118,999,2026-08-07,failed,3,16,insufficient_funds
sub_20119,1299,2026-08-08,failed,4,23,insufficient_funds
sub_20120,399,2026-08-09,paid,0,30,
sub_20121,499,2026-08-10,paid,1,37,
sub_20122,599,2026-08-11,failed,2,44,insufficient_funds
sub_20123,799,2026-08-12,failed,3,6,insufficient_funds
sub_20124,999,2026-08-13,failed,4,13,insufficient_funds
sub_20125,1299,2026-08-14,paid,0,20,
sub_20126,399,2026-08-15,paid,1,27,
sub_20127,499,2026-08-16,failed,2,34,insufficient_funds
sub_20128,599,2026-08-17,failed,3,41,insufficient_funds
sub_20129,799,2026-08-18,failed,4,3,insufficient_funds
sub_20130,999,2026-08-19,paid,0,10,
sub_20131,1299,2026-08-20,paid,1,17,
sub_20132,399,2026-08-21,failed,2,24,insufficient_funds
sub_20133,499,2026-08-22,failed,3,31,insufficient_funds
sub_20134,599,2026-08-23,failed,4,38,insufficient_funds
sub_20135,799,2026-08-24,paid,0,0,
sub_20136,999,2026-08-25,paid,1,7,
sub_20137,1299,2026-08-26,paid,2,14,
sub_20138,399,2026-08-27,failed,3,21,insufficient_funds
sub_20139,499,2026-08-28,failed,4,28,insufficient_funds
